flask,Lake,strain,combo_temp,combo,genotype,Trophic,temp,Crash_Numeric,Crash,Phase,Growth,NeverPositive,Growth_Z,Keep,Growth_Z_by_timepoint,NegativePositiveGrowth
50,FA19,FA19-02,HNHG_28,HNHG,HG,HN,28,3,3,Exp,0.4746,n,1.267,y,1.267032836,positive
50,FA19,FA19-02,HNHG_28,HNHG,HG,HN,28,3,3,wk2,0.4746,n,1.267,y,1.267032836,positive
50,FA19,FA19-02,HNHG_28,HNHG,HG,HN,28,3,3,wk3,-0.0752,n,-2.1011,y,0.05788919,negative
50,FA19,FA19-02,HNHG_28,HNHG,HG,HN,28,3,3,wk4,-0.1404,n,-2.5003,y,-0.064606533,negative
51,FA19,FA19-05,HNHG_28,HNHG,HG,HN,28,3,3,Exp,0.1086,n,-0.9863,y,-0.986543903,positive
51,FA19,FA19-05,HNHG_28,HNHG,HG,HN,28,3,3,wk2,0.1086,n,-0.9863,y,-0.180015043,positive
51,FA19,FA19-05,HNHG_28,HNHG,HG,HN,28,3,3,wk3,-0.0652,n,-2.2099,y,-0.647469432,negative
51,FA19,FA19-05,HNHG_28,HNHG,HG,HN,28,3,3,wk4,-0.1118,n,-2.5377,y,-0.751679891,negative
52,FA19,FA19-06,HNHG_28,HNHG,HG,HN,28,2,2,Exp,-0.0679,y,-1.4157,y,-1.415727446,negative
52,FA19,FA19-06,HNHG_28,HNHG,HG,HN,28,2,2,wk2,-0.0309,y,-1.0925,y,-0.478092628,negative
52,FA19,FA19-06,HNHG_28,HNHG,HG,HN,28,2,2,wk3,-0.0587,y,-1.3358,y,-0.437738326,negative
52,FA19,FA19-06,HNHG_28,HNHG,HG,HN,28,2,2,wk4,-0.11,y,-1.7844,y,-0.915924382,negative
53,G19,G19-01,LNLG_28,LNLG,LG,LN,28,4,4,Exp,0.2,n,1.0611,y,1.060875561,positive
53,G19,G19-01,LNLG_28,LNLG,LG,LN,28,4,4,wk2,0.2159,n,1.2245,y,0.869641031,positive
53,G19,G19-01,LNLG_28,LNLG,LG,LN,28,4,4,wk3,0.1871,n,0.928,y,1.382310861,positive
53,G19,G19-01,LNLG_28,LNLG,LG,LN,28,4,4,wk4,-0.186,n,-2.9222,y,-1.248800035,negative
